MapSMtoCores for SM 12.60 is undefined.  Default to use 128 Cores/SM
MapSMtoCores for SM 12.60 is undefined.  Default to use 128 Cores/SM
MapSMtoCores for SM 1.2 is undefined.  Default to use 128 Cores/SM
MapSMtoArchName for SM 12.60 is undefined.  Default to use Hopper
GPU Device 0: "Hopper" with compute capability 12.60


Running on Intel(R) Data Center GPU Max 1550
M: 16 (16 x 1)
N: 16 (16 x 1)
K: 16 (16 x 1)
Preparing data for GPU...
Required shared memory size: 64 Kb
Computing... using high performance kernel compute_gemm
Verifying correctness of the computations...
mismatch i=0 result_hD=10.000000 result_host=3.400000
mismatch i=1 result_hD=10.000000 result_host=3.400000
mismatch i=2 result_hD=10.000000 result_host=3.400000
mismatch i=3 result_hD=10.000000 result_host=3.400000
mismatch i=4 result_hD=10.000000 result_host=3.400000
mismatch i=5 result_hD=10.000000 result_host=3.400000
mismatch i=6 result_hD=10.000000 result_host=3.400000
mismatch i=7 result_hD=10.000000 result_host=3.400000
mismatch i=8 result_hD=10.000000 result_host=3.400000
mismatch i=9 result_hD=10.000000 result_host=3.400000
mismatch i=10 result_hD=10.000000 result_host=3.400000
mismatch i=11 result_hD=10.000000 result_host=3.400000
mismatch i=12 result_hD=10.000000 result_host=3.400000
mismatch i=13 result_hD=7.800000 result_host=3.400000
mismatch i=14 result_hD=5.600000 result_host=3.400000
mismatch i=15 result_hD=3.400000 result_host=3.400000
mismatch i=16 result_hD=10.000000 result_host=3.400000
mismatch i=17 result_hD=10.000000 result_host=3.400000
mismatch i=18 result_hD=10.000000 result_host=3.400000
mismatch i=19 result_hD=10.000000 result_host=3.400000
mismatch i=20 result_hD=10.000000 result_host=3.400000
mismatch i=21 result_hD=10.000000 result_host=3.400000
mismatch i=22 result_hD=10.000000 result_host=3.400000
mismatch i=23 result_hD=10.000000 result_host=3.400000
mismatch i=24 result_hD=10.000000 result_host=3.400000
mismatch i=25 result_hD=10.000000 result_host=3.400000
mismatch i=26 result_hD=10.000000 result_host=3.400000
mismatch i=27 result_hD=10.000000 result_host=3.400000
mismatch i=28 result_hD=10.000000 result_host=3.400000
mismatch i=29 result_hD=7.800000 result_host=3.400000
mismatch i=30 result_hD=5.600000 result_host=3.400000
mismatch i=31 result_hD=3.400000 result_host=3.400000
mismatch i=32 result_hD=10.000000 result_host=3.400000
mismatch i=33 result_hD=10.000000 result_host=3.400000
mismatch i=34 result_hD=10.000000 result_host=3.400000
mismatch i=35 result_hD=10.000000 result_host=3.400000
mismatch i=36 result_hD=10.000000 result_host=3.400000
mismatch i=37 result_hD=10.000000 result_host=3.400000
mismatch i=38 result_hD=10.000000 result_host=3.400000
mismatch i=39 result_hD=10.000000 result_host=3.400000
mismatch i=40 result_hD=10.000000 result_host=3.400000
mismatch i=41 result_hD=10.000000 result_host=3.400000
mismatch i=42 result_hD=10.000000 result_host=3.400000
mismatch i=43 result_hD=10.000000 result_host=3.400000
mismatch i=44 result_hD=10.000000 result_host=3.400000
mismatch i=45 result_hD=7.800000 result_host=3.400000
mismatch i=46 result_hD=5.600000 result_host=3.400000
mismatch i=47 result_hD=3.400000 result_host=3.400000
mismatch i=48 result_hD=10.000000 result_host=3.400000
mismatch i=49 result_hD=10.000000 result_host=3.400000
mismatch i=50 result_hD=10.000000 result_host=3.400000
mismatch i=51 result_hD=10.000000 result_host=3.400000
mismatch i=52 result_hD=10.000000 result_host=3.400000
mismatch i=53 result_hD=10.000000 result_host=3.400000
mismatch i=54 result_hD=10.000000 result_host=3.400000
mismatch i=55 result_hD=10.000000 result_host=3.400000
mismatch i=56 result_hD=10.000000 result_host=3.400000
mismatch i=57 result_hD=10.000000 result_host=3.400000
mismatch i=58 result_hD=10.000000 result_host=3.400000
mismatch i=59 result_hD=10.000000 result_host=3.400000
mismatch i=60 result_hD=10.000000 result_host=3.400000
mismatch i=61 result_hD=7.800000 result_host=3.400000
mismatch i=62 result_hD=5.600000 result_host=3.400000
